i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,12310830,0.522,0.686,0.707,0.7175,0.447,0.621,0.666,0.679
1,11814514,0.5295,0.682,0.706,0.7205,0.454,0.634,0.668,0.6895
2,13181240,0.5405,0.7165,0.7425,0.755,0.4575,0.6255,0.6615,0.682
3,10928668,0.504,0.6825,0.7095,0.7185,0.444,0.619,0.6525,0.6695
4,19382740,0.498,0.662,0.6875,0.7015,0.4485,0.6525,0.6905,0.7115
5,11354816,0.534,0.6915,0.722,0.7375,0.4525,0.6285,0.669,0.685
6,10299087,0.5225,0.6925,0.7205,0.7325,0.4545,0.632,0.6635,0.687
7,11714914,0.5115,0.6795,0.7055,0.719,0.442,0.624,0.662,0.679
8,12969185,0.513,0.678,0.703,0.718,0.46,0.639,0.6715,0.691
9,12159274,0.5015,0.6795,0.707,0.7205,0.42,0.6055,0.6405,0.6685
10,14406977,0.5085,0.679,0.7025,0.7175,0.445,0.622,0.6615,0.681
11,11916127,0.507,0.687,0.7125,0.729,0.418,0.6045,0.636,0.657
12,12892432,0.514,0.686,0.7145,0.7255,0.4515,0.6335,0.6745,0.69
13,11721897,0.517,0.679,0.707,0.7225,0.4635,0.6165,0.6525,0.6725
14,13517432,0.5115,0.691,0.712,0.724,0.42,0.6045,0.6485,0.6705
