i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,6247877,0.408,0.613,0.679,0.7,0.3725,0.561,0.6215,0.643
1,4670227,0.4215,0.6365,0.692,0.717,0.3695,0.564,0.623,0.648
2,6029750,0.4115,0.6215,0.685,0.7095,0.3425,0.572,0.634,0.6655
3,5451388,0.4055,0.613,0.679,0.698,0.3685,0.584,0.6435,0.664
4,4970788,0.4115,0.6295,0.6795,0.7055,0.349,0.564,0.6255,0.6595
5,9890485,0.3855,0.61,0.649,0.68,0.363,0.5815,0.6335,0.6585
6,12592962,0.4005,0.609,0.671,0.6965,0.373,0.584,0.641,0.6615
7,5922423,0.4185,0.6215,0.677,0.7085,0.374,0.5815,0.6455,0.677
8,4762419,0.409,0.6215,0.6715,0.701,0.379,0.571,0.6305,0.6645
9,4355290,0.4105,0.631,0.687,0.6995,0.387,0.577,0.631,0.6545
10,8434522,0.4095,0.6335,0.681,0.7075,0.378,0.597,0.6505,0.68
11,9007957,0.432,0.6355,0.686,0.7145,0.365,0.5705,0.632,0.66
12,10483483,0.4055,0.599,0.6575,0.6875,0.372,0.5715,0.637,0.6625
13,4367207,0.3875,0.5995,0.6605,0.685,0.365,0.5665,0.624,0.6515
14,4972386,0.4045,0.63,0.679,0.701,0.3665,0.581,0.6285,0.6555
