i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,4064558,0.2735,0.436,0.514,0.551,0.287,0.469,0.5335,0.5725
1,3260383,0.2755,0.445,0.519,0.568,0.27,0.4655,0.529,0.569
2,5479185,0.2935,0.4685,0.537,0.576,0.281,0.453,0.5245,0.5625
3,2293277,0.2795,0.4695,0.546,0.6045,0.279,0.461,0.5295,0.593
4,2463417,0.2855,0.4745,0.5555,0.587,0.2655,0.4735,0.5515,0.5895
5,4285286,0.2895,0.4815,0.562,0.6015,0.2765,0.476,0.5485,0.588
6,2009608,0.275,0.456,0.5205,0.574,0.253,0.4385,0.5055,0.5545
7,2427994,0.2755,0.447,0.5305,0.565,0.267,0.4325,0.501,0.533
8,4393631,0.278,0.449,0.522,0.5765,0.2645,0.4495,0.5145,0.56
9,3817925,0.291,0.483,0.556,0.592,0.2835,0.482,0.551,0.591
10,4769801,0.2815,0.4625,0.554,0.5955,0.2605,0.426,0.506,0.5555
11,3659782,0.2875,0.46,0.5235,0.5765,0.2625,0.4515,0.519,0.56
12,2056318,0.2865,0.477,0.5525,0.5865,0.2715,0.4565,0.53,0.566
13,5075415,0.297,0.475,0.5355,0.572,0.2635,0.4475,0.526,0.5745
14,1349075,0.294,0.4875,0.537,0.583,0.265,0.449,0.5095,0.5485
