i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,4419143,0.3755,0.5745,0.641,0.6825,0.3335,0.531,0.599,0.631
1,4847356,0.363,0.57,0.656,0.6905,0.3385,0.544,0.622,0.6505
2,7046943,0.389,0.581,0.652,0.6905,0.363,0.556,0.625,0.6565
3,9274583,0.3655,0.585,0.66,0.692,0.331,0.5155,0.585,0.6195
4,5644130,0.3635,0.585,0.66,0.697,0.3445,0.547,0.6075,0.6395
5,8871660,0.3315,0.55,0.637,0.662,0.349,0.5495,0.6235,0.6525
6,3714260,0.3445,0.556,0.6155,0.648,0.3435,0.5555,0.617,0.6515
7,4409122,0.364,0.568,0.6335,0.6705,0.331,0.536,0.5895,0.6285
8,5096936,0.3935,0.5975,0.657,0.6805,0.3415,0.5635,0.6165,0.643
9,5315144,0.361,0.5835,0.65,0.6805,0.32,0.527,0.5885,0.625
10,5683405,0.3715,0.576,0.6365,0.6585,0.3355,0.543,0.6125,0.646
11,4565576,0.385,0.592,0.651,0.686,0.3385,0.5475,0.6065,0.6485
12,2563428,0.384,0.5865,0.6315,0.67,0.347,0.538,0.5955,0.632
13,3065721,0.381,0.57,0.641,0.671,0.3345,0.5415,0.6125,0.653
14,6489603,0.3655,0.572,0.637,0.6745,0.339,0.5505,0.624,0.66
