i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,3856935,0.2435,0.376,0.446,0.492,0.2355,0.3665,0.432,0.481
1,4068858,0.2195,0.3505,0.4205,0.501,0.234,0.362,0.4335,0.5115
2,2159814,0.253,0.389,0.458,0.499,0.215,0.356,0.4405,0.4885
3,3675337,0.208,0.3345,0.4125,0.4655,0.22,0.348,0.422,0.472
4,4736740,0.235,0.37,0.4545,0.5005,0.221,0.365,0.45,0.4985
5,987810,0.222,0.37,0.4405,0.484,0.228,0.354,0.4245,0.4655
6,4338417,0.241,0.3855,0.4615,0.5035,0.2325,0.3645,0.443,0.4985
7,3203999,0.2275,0.356,0.4345,0.4855,0.241,0.3935,0.4655,0.5115
8,1855348,0.236,0.3695,0.4455,0.4885,0.23,0.3465,0.4245,0.467
9,1259349,0.235,0.3785,0.4435,0.4895,0.214,0.365,0.435,0.478
10,3606627,0.2325,0.359,0.4325,0.486,0.2285,0.359,0.4225,0.4695
11,1589677,0.24,0.3715,0.4535,0.4885,0.235,0.378,0.4555,0.503
12,2018926,0.2335,0.3795,0.437,0.4895,0.2245,0.361,0.4265,0.477
13,3371109,0.2545,0.3935,0.469,0.519,0.2365,0.3805,0.4465,0.493
14,5989507,0.2345,0.3715,0.4545,0.5095,0.237,0.3755,0.459,0.517
