i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,10779301,0.4775,0.661,0.6925,0.71,0.394,0.5825,0.6305,0.662
1,9834333,0.4835,0.6665,0.7045,0.729,0.429,0.605,0.6505,0.6775
2,7877940,0.4905,0.6725,0.7005,0.7195,0.409,0.59,0.6325,0.6545
3,7680352,0.499,0.6675,0.7015,0.72,0.415,0.595,0.639,0.6675
4,10300953,0.4805,0.658,0.6925,0.705,0.4,0.575,0.619,0.648
5,9140080,0.5,0.6915,0.7245,0.741,0.4125,0.597,0.63,0.661
6,14665994,0.479,0.66,0.6925,0.714,0.4365,0.6025,0.6565,0.684
7,11094804,0.503,0.6795,0.7205,0.7425,0.4295,0.5995,0.645,0.669
8,8546477,0.4815,0.6495,0.6815,0.7035,0.4285,0.623,0.659,0.6895
9,9507800,0.497,0.672,0.7015,0.7175,0.4325,0.6235,0.6645,0.695
10,13139236,0.5085,0.671,0.702,0.7215,0.4285,0.6155,0.6605,0.6835
11,10278456,0.4805,0.651,0.688,0.709,0.4245,0.6035,0.6485,0.6775
12,9092423,0.502,0.678,0.7105,0.727,0.432,0.6115,0.6535,0.6765
13,17925553,0.472,0.6605,0.6955,0.7205,0.403,0.598,0.6365,0.6655
14,8592800,0.4675,0.6475,0.6885,0.7065,0.424,0.617,0.6645,0.696
