i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,16808372,0.5255,0.685,0.7075,0.718,0.45,0.635,0.672,0.694
1,17942732,0.5375,0.6945,0.718,0.7355,0.457,0.6345,0.671,0.691
2,15331851,0.5245,0.687,0.703,0.7215,0.4385,0.6225,0.658,0.68
3,13743184,0.525,0.682,0.702,0.7195,0.4465,0.628,0.6635,0.684
4,16321676,0.5465,0.6975,0.719,0.7325,0.443,0.628,0.6675,0.6945
5,14734918,0.5415,0.6975,0.721,0.731,0.4565,0.635,0.671,0.6965
6,15667846,0.5055,0.681,0.7065,0.723,0.447,0.6135,0.646,0.671
7,15587943,0.546,0.688,0.7095,0.728,0.465,0.6375,0.665,0.689
8,13457516,0.519,0.6705,0.6925,0.705,0.462,0.6205,0.656,0.672
9,15785055,0.5255,0.6855,0.7135,0.7285,0.465,0.6445,0.6725,0.6865
10,14379487,0.5315,0.6775,0.6985,0.715,0.4495,0.6125,0.649,0.6685
11,18516057,0.5375,0.6935,0.7185,0.725,0.4515,0.626,0.666,0.6895
12,11793207,0.5395,0.684,0.707,0.7195,0.46,0.622,0.6515,0.668
13,13864119,0.539,0.6815,0.7045,0.7195,0.45,0.616,0.649,0.67
14,15032239,0.543,0.6955,0.7185,0.731,0.4855,0.6595,0.6905,0.71
