i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,20778930,0.5513333333333333,0.6975,0.7188333333333333,0.7323333333333333,0.454,0.6241666666666666,0.6621666666666667,0.6811666666666667
1,18094322,0.5596666666666666,0.7036666666666667,0.7243333333333334,0.7381666666666666,0.45616666666666666,0.6208333333333333,0.6561666666666667,0.6703333333333333
2,17664858,0.5445,0.6978333333333333,0.713,0.7273333333333334,0.4485,0.6271666666666667,0.658,0.6825
3,18237774,0.5408333333333334,0.6873333333333334,0.7066666666666667,0.7161666666666666,0.45466666666666666,0.627,0.6616666666666666,0.6793333333333333
4,15612028,0.5453333333333333,0.6945,0.7093333333333334,0.7208333333333333,0.4678333333333333,0.6435,0.67,0.6896666666666667
