i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,5283339,0.466,0.6595,0.698,0.723,0.403,0.5835,0.633,0.654
1,8996904,0.4535,0.6495,0.6875,0.7045,0.3935,0.5845,0.6405,0.663
2,6739482,0.4615,0.6515,0.6945,0.71,0.4025,0.5985,0.6385,0.6645
3,7296708,0.4495,0.656,0.6965,0.715,0.428,0.61,0.654,0.6765
4,6954212,0.472,0.664,0.7015,0.7195,0.4045,0.5895,0.633,0.663
5,7886893,0.4655,0.6535,0.6955,0.7235,0.426,0.6095,0.655,0.68
6,9302984,0.445,0.6425,0.691,0.719,0.417,0.602,0.6445,0.6735
7,8826665,0.46,0.6415,0.6825,0.7,0.3965,0.6025,0.648,0.6705
8,6211499,0.481,0.658,0.6935,0.714,0.431,0.6075,0.6565,0.6855
9,9582360,0.468,0.674,0.7095,0.73,0.394,0.598,0.6345,0.6565
10,9409257,0.441,0.6515,0.6925,0.7035,0.3895,0.5865,0.6415,0.6645
11,7593652,0.45,0.6485,0.6915,0.705,0.3915,0.58,0.638,0.6665
12,11979945,0.432,0.6345,0.6815,0.7045,0.411,0.592,0.636,0.6565
13,8475372,0.4685,0.6575,0.692,0.7085,0.4135,0.6015,0.6475,0.668
14,9672222,0.4455,0.645,0.687,0.706,0.4,0.6,0.647,0.674
