i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,6359336,0.235,0.427,0.492,0.542,0.263,0.428,0.511,0.55
1,917105,0.294,0.464,0.528,0.581,0.28,0.45,0.526,0.568
2,6888580,0.285,0.472,0.551,0.608,0.259,0.461,0.52,0.566
3,1279601,0.272,0.458,0.526,0.567,0.279,0.444,0.52,0.55
4,3363550,0.285,0.462,0.547,0.59,0.278,0.47,0.54,0.581
5,4460887,0.278,0.453,0.515,0.553,0.254,0.432,0.494,0.531
6,5728321,0.257,0.443,0.512,0.569,0.299,0.474,0.542,0.573
7,2696065,0.26,0.457,0.525,0.561,0.256,0.419,0.495,0.541
8,2453716,0.29,0.48,0.546,0.599,0.262,0.447,0.54,0.577
9,5123778,0.291,0.484,0.556,0.599,0.261,0.457,0.518,0.568
10,3673100,0.301,0.472,0.529,0.57,0.267,0.457,0.52,0.56
11,4018663,0.268,0.479,0.544,0.586,0.255,0.438,0.514,0.561
12,5694620,0.288,0.457,0.538,0.581,0.291,0.462,0.55,0.585
13,2427264,0.282,0.477,0.543,0.592,0.274,0.486,0.552,0.604
14,922143,0.311,0.477,0.56,0.587,0.269,0.446,0.514,0.549
15,2426866,0.279,0.464,0.532,0.57,0.265,0.435,0.51,0.551
16,6301205,0.281,0.471,0.546,0.594,0.309,0.482,0.548,0.577
17,6424118,0.286,0.461,0.55,0.584,0.262,0.437,0.509,0.546
18,6551867,0.272,0.455,0.522,0.571,0.254,0.443,0.512,0.548
19,4796351,0.272,0.439,0.527,0.57,0.281,0.446,0.523,0.566
20,3036142,0.243,0.466,0.53,0.576,0.263,0.444,0.538,0.589
21,2591709,0.275,0.461,0.531,0.58,0.261,0.437,0.507,0.547
22,5669535,0.277,0.43,0.514,0.567,0.278,0.449,0.515,0.556
23,5587414,0.258,0.447,0.532,0.574,0.268,0.475,0.545,0.584
24,2539304,0.26,0.465,0.533,0.567,0.265,0.443,0.526,0.566
25,2552973,0.286,0.456,0.531,0.585,0.281,0.46,0.539,0.585
26,6538207,0.302,0.467,0.544,0.581,0.253,0.427,0.521,0.56
27,3305069,0.3,0.479,0.556,0.593,0.262,0.44,0.513,0.563
28,771484,0.289,0.468,0.541,0.578,0.251,0.433,0.505,0.55
29,5020374,0.29,0.503,0.559,0.59,0.249,0.413,0.486,0.524
30,4258822,0.263,0.46,0.527,0.588,0.284,0.45,0.518,0.574
