i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,1936152,0.244,0.373,0.441,0.49,0.226,0.353,0.436,0.472
1,1150777,0.248,0.384,0.454,0.497,0.235,0.355,0.437,0.48
2,2440250,0.258,0.386,0.449,0.52,0.229,0.358,0.426,0.484
3,6000140,0.22,0.344,0.418,0.484,0.232,0.365,0.447,0.506
4,849571,0.235,0.368,0.435,0.471,0.231,0.384,0.472,0.518
5,7404713,0.246,0.401,0.46,0.511,0.226,0.356,0.414,0.456
6,5081885,0.24,0.363,0.432,0.476,0.223,0.368,0.449,0.488
7,4333747,0.225,0.373,0.465,0.525,0.228,0.378,0.47,0.526
8,1161292,0.238,0.377,0.449,0.496,0.217,0.365,0.447,0.488
9,3876315,0.238,0.363,0.433,0.491,0.227,0.345,0.416,0.469
10,6479638,0.245,0.381,0.45,0.489,0.256,0.371,0.44,0.466
11,13596509,0.224,0.368,0.435,0.496,0.232,0.356,0.442,0.515
12,4848146,0.239,0.391,0.472,0.513,0.244,0.386,0.446,0.492
13,2050981,0.244,0.377,0.456,0.499,0.206,0.337,0.4,0.447
14,6687753,0.225,0.353,0.433,0.477,0.239,0.373,0.452,0.505
15,3987493,0.22,0.363,0.452,0.501,0.239,0.373,0.445,0.477
16,3082592,0.238,0.381,0.449,0.499,0.266,0.403,0.474,0.523
17,5381139,0.224,0.357,0.428,0.483,0.251,0.388,0.455,0.506
18,2317468,0.248,0.396,0.464,0.521,0.225,0.371,0.448,0.488
19,1515105,0.218,0.367,0.454,0.5,0.21,0.356,0.432,0.488
20,3562388,0.231,0.361,0.448,0.508,0.228,0.336,0.41,0.475
21,2139424,0.229,0.383,0.438,0.504,0.253,0.392,0.439,0.492
22,4629532,0.233,0.361,0.449,0.505,0.225,0.365,0.448,0.5
23,3823292,0.236,0.379,0.446,0.494,0.225,0.343,0.416,0.464
24,6681669,0.207,0.349,0.434,0.48,0.249,0.386,0.449,0.492
25,2541359,0.227,0.354,0.422,0.473,0.231,0.349,0.429,0.491
26,1100867,0.235,0.374,0.448,0.502,0.224,0.364,0.434,0.482
27,7415738,0.24,0.351,0.42,0.487,0.252,0.395,0.462,0.521
28,2669384,0.21,0.327,0.411,0.448,0.204,0.347,0.412,0.474
29,1211408,0.233,0.36,0.442,0.49,0.234,0.367,0.454,0.512
30,863577,0.235,0.375,0.454,0.492,0.232,0.366,0.441,0.486
