i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,6491268,0.429,0.627,0.685,0.711,0.365,0.563,0.613,0.651
1,7218999,0.391,0.6,0.659,0.684,0.341,0.548,0.605,0.641
2,7164216,0.412,0.624,0.684,0.716,0.381,0.593,0.647,0.684
3,4909913,0.436,0.626,0.682,0.701,0.373,0.56,0.619,0.639
4,5662750,0.41,0.608,0.672,0.694,0.347,0.571,0.632,0.663
5,4530858,0.436,0.65,0.693,0.717,0.368,0.587,0.642,0.656
6,3986258,0.415,0.622,0.684,0.721,0.377,0.563,0.62,0.655
7,9646656,0.415,0.601,0.653,0.678,0.392,0.575,0.634,0.663
8,3969103,0.392,0.599,0.656,0.68,0.35,0.57,0.624,0.654
9,8680895,0.387,0.612,0.675,0.698,0.357,0.56,0.634,0.655
10,8126303,0.4,0.629,0.682,0.707,0.354,0.571,0.62,0.659
11,11499190,0.409,0.62,0.679,0.71,0.368,0.569,0.638,0.672
12,5301232,0.385,0.602,0.661,0.692,0.345,0.562,0.642,0.665
13,4173141,0.404,0.625,0.681,0.701,0.355,0.559,0.617,0.646
14,3866752,0.39,0.614,0.667,0.686,0.37,0.584,0.641,0.666
15,6281262,0.411,0.611,0.666,0.682,0.38,0.57,0.628,0.644
16,5336874,0.396,0.588,0.652,0.682,0.405,0.609,0.664,0.69
17,7116989,0.383,0.611,0.658,0.679,0.338,0.556,0.611,0.634
18,4654982,0.41,0.624,0.675,0.705,0.377,0.569,0.623,0.651
19,6204538,0.436,0.644,0.697,0.725,0.365,0.582,0.642,0.666
20,4473143,0.395,0.594,0.657,0.676,0.384,0.595,0.663,0.682
21,5184072,0.398,0.611,0.658,0.694,0.356,0.549,0.613,0.657
22,4626532,0.381,0.614,0.672,0.696,0.354,0.579,0.633,0.667
23,10110004,0.399,0.623,0.672,0.707,0.375,0.571,0.633,0.655
24,4271567,0.418,0.618,0.683,0.708,0.369,0.582,0.634,0.661
25,4567512,0.391,0.603,0.676,0.7,0.356,0.576,0.634,0.662
26,6908686,0.406,0.618,0.667,0.691,0.345,0.57,0.631,0.657
27,4296954,0.416,0.598,0.658,0.679,0.35,0.545,0.601,0.627
28,5331276,0.407,0.616,0.676,0.701,0.385,0.594,0.645,0.671
29,4581452,0.429,0.642,0.684,0.709,0.345,0.545,0.597,0.619
30,3972464,0.423,0.621,0.674,0.694,0.355,0.538,0.601,0.632
