i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,10720213,0.48,0.66,0.691,0.713,0.428,0.613,0.646,0.673
1,9373550,0.484,0.657,0.703,0.715,0.443,0.612,0.647,0.673
2,12000042,0.461,0.634,0.667,0.681,0.419,0.608,0.647,0.674
3,7830093,0.505,0.69,0.717,0.742,0.42,0.598,0.638,0.659
4,7884125,0.48,0.66,0.701,0.724,0.415,0.577,0.629,0.657
5,7759901,0.481,0.669,0.705,0.724,0.413,0.592,0.64,0.666
6,15115214,0.499,0.672,0.713,0.734,0.429,0.591,0.631,0.668
7,8933228,0.463,0.651,0.677,0.691,0.416,0.62,0.655,0.692
8,8148875,0.494,0.657,0.694,0.714,0.426,0.592,0.639,0.669
9,8490698,0.489,0.685,0.727,0.743,0.428,0.619,0.657,0.676
10,9431843,0.499,0.669,0.697,0.728,0.41,0.595,0.636,0.672
11,12038425,0.498,0.69,0.719,0.748,0.411,0.61,0.659,0.68
12,8326426,0.498,0.682,0.715,0.734,0.455,0.621,0.654,0.678
13,10270380,0.476,0.658,0.701,0.718,0.444,0.623,0.669,0.697
14,7208692,0.482,0.681,0.709,0.735,0.416,0.593,0.636,0.653
15,6956336,0.486,0.667,0.695,0.718,0.417,0.59,0.62,0.644
16,7331014,0.463,0.672,0.708,0.728,0.414,0.634,0.665,0.692
17,8127140,0.459,0.649,0.684,0.704,0.442,0.619,0.662,0.687
18,8988542,0.508,0.677,0.708,0.732,0.393,0.569,0.615,0.65
19,7541665,0.506,0.683,0.716,0.732,0.427,0.6,0.635,0.648
20,17514758,0.49,0.671,0.703,0.733,0.421,0.619,0.652,0.675
21,8415301,0.501,0.658,0.688,0.708,0.414,0.605,0.644,0.671
22,7844253,0.488,0.662,0.705,0.719,0.439,0.623,0.675,0.697
23,8939714,0.512,0.689,0.714,0.73,0.435,0.636,0.675,0.703
24,10386551,0.48,0.667,0.705,0.731,0.433,0.586,0.634,0.663
25,11014441,0.51,0.686,0.717,0.739,0.437,0.608,0.656,0.68
26,10583423,0.463,0.64,0.676,0.7,0.433,0.621,0.661,0.68
27,8390903,0.481,0.678,0.712,0.731,0.414,0.604,0.663,0.687
28,8885467,0.514,0.694,0.724,0.741,0.411,0.597,0.636,0.666
29,7614997,0.486,0.658,0.699,0.717,0.45,0.622,0.673,0.698
30,7695267,0.522,0.675,0.71,0.729,0.442,0.601,0.638,0.665
