i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,3949032,0.359,0.541,0.63,0.656,0.295,0.486,0.569,0.6
1,1391406,0.327,0.534,0.618,0.655,0.315,0.503,0.561,0.608
2,4814965,0.32,0.517,0.601,0.631,0.307,0.487,0.559,0.596
3,4436809,0.313,0.493,0.585,0.627,0.311,0.508,0.593,0.625
4,1812077,0.351,0.54,0.611,0.638,0.304,0.498,0.586,0.626
5,5282927,0.332,0.555,0.626,0.654,0.314,0.517,0.592,0.614
6,1545402,0.311,0.507,0.566,0.62,0.3,0.518,0.574,0.625
7,6363148,0.338,0.545,0.607,0.645,0.282,0.487,0.559,0.586
8,4000363,0.307,0.529,0.595,0.648,0.286,0.486,0.55,0.602
9,3103535,0.335,0.515,0.613,0.645,0.287,0.479,0.555,0.58
10,7232667,0.313,0.515,0.591,0.621,0.295,0.502,0.578,0.613
11,1995628,0.309,0.516,0.588,0.618,0.339,0.511,0.567,0.604
12,5572435,0.312,0.527,0.619,0.647,0.278,0.471,0.555,0.583
13,2011951,0.328,0.505,0.576,0.608,0.311,0.488,0.556,0.595
14,5233495,0.345,0.54,0.624,0.656,0.285,0.484,0.565,0.598
15,4575622,0.321,0.516,0.588,0.629,0.29,0.496,0.567,0.6
16,2672620,0.345,0.551,0.615,0.653,0.259,0.444,0.537,0.576
17,7575863,0.329,0.525,0.592,0.628,0.29,0.497,0.579,0.615
18,3716522,0.328,0.543,0.615,0.645,0.265,0.463,0.537,0.582
19,3218474,0.338,0.525,0.604,0.637,0.298,0.505,0.575,0.599
20,5064562,0.328,0.528,0.608,0.637,0.285,0.482,0.563,0.591
21,5946489,0.33,0.555,0.63,0.669,0.32,0.536,0.593,0.621
22,7738205,0.307,0.504,0.591,0.622,0.31,0.494,0.585,0.62
23,2893981,0.323,0.512,0.589,0.623,0.298,0.488,0.577,0.608
24,7209961,0.299,0.493,0.574,0.622,0.283,0.496,0.566,0.604
25,7300464,0.345,0.546,0.626,0.654,0.299,0.526,0.583,0.622
26,3257840,0.328,0.533,0.617,0.647,0.304,0.506,0.576,0.607
27,8648916,0.328,0.544,0.635,0.681,0.298,0.487,0.558,0.605
28,2255057,0.323,0.532,0.621,0.653,0.301,0.482,0.549,0.588
29,10757978,0.31,0.504,0.584,0.631,0.296,0.504,0.594,0.634
30,4599784,0.328,0.527,0.6,0.646,0.302,0.498,0.569,0.611
