i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,7505591,0.352,0.578,0.657,0.69,0.325,0.509,0.584,0.616
1,2765705,0.366,0.573,0.641,0.662,0.322,0.516,0.598,0.636
2,4363850,0.377,0.577,0.646,0.679,0.338,0.546,0.624,0.667
3,5510415,0.365,0.59,0.658,0.692,0.33,0.513,0.57,0.607
4,5333581,0.372,0.579,0.663,0.69,0.372,0.574,0.635,0.661
5,4041327,0.369,0.567,0.639,0.677,0.3,0.524,0.601,0.636
6,4165346,0.358,0.57,0.631,0.66,0.359,0.572,0.626,0.664
7,4396785,0.371,0.573,0.629,0.662,0.331,0.538,0.613,0.637
8,3932449,0.363,0.569,0.632,0.663,0.348,0.565,0.613,0.658
9,7349695,0.349,0.57,0.64,0.67,0.323,0.566,0.633,0.671
10,10253973,0.363,0.568,0.642,0.682,0.32,0.535,0.604,0.638
11,4063298,0.376,0.587,0.644,0.677,0.356,0.552,0.612,0.643
12,5180772,0.364,0.575,0.638,0.672,0.336,0.551,0.624,0.66
13,5018988,0.386,0.581,0.662,0.694,0.366,0.551,0.621,0.638
14,7380326,0.36,0.563,0.638,0.664,0.324,0.528,0.602,0.634
15,4242433,0.358,0.561,0.629,0.667,0.341,0.544,0.62,0.653
16,3818274,0.356,0.566,0.641,0.666,0.33,0.543,0.6,0.637
17,5150731,0.384,0.586,0.661,0.696,0.351,0.531,0.608,0.639
18,3760930,0.369,0.576,0.656,0.686,0.354,0.534,0.599,0.628
19,12665421,0.385,0.585,0.65,0.687,0.335,0.581,0.639,0.664
20,7305904,0.387,0.592,0.655,0.689,0.341,0.552,0.621,0.667
21,3332153,0.383,0.582,0.651,0.693,0.336,0.516,0.575,0.605
22,3692860,0.372,0.586,0.65,0.673,0.333,0.561,0.625,0.665
23,6311708,0.372,0.578,0.642,0.678,0.359,0.559,0.626,0.661
24,5856215,0.371,0.548,0.633,0.661,0.345,0.558,0.632,0.657
25,7726035,0.369,0.58,0.643,0.677,0.325,0.528,0.611,0.651
26,4420817,0.354,0.567,0.62,0.662,0.345,0.542,0.606,0.645
27,4962591,0.384,0.572,0.642,0.678,0.346,0.554,0.609,0.64
28,4989732,0.377,0.584,0.636,0.68,0.336,0.567,0.634,0.67
29,7842760,0.382,0.606,0.669,0.701,0.336,0.557,0.622,0.65
30,5756011,0.363,0.542,0.607,0.646,0.334,0.546,0.608,0.642
