i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,11329261,0.47,0.667,0.704,0.724,0.416,0.601,0.646,0.675
1,10491452,0.427,0.622,0.664,0.685,0.397,0.591,0.643,0.668
2,9179249,0.437,0.644,0.694,0.714,0.407,0.606,0.651,0.673
3,6954153,0.462,0.652,0.691,0.716,0.409,0.602,0.652,0.671
4,6142975,0.447,0.637,0.677,0.687,0.409,0.595,0.631,0.656
5,5893543,0.434,0.627,0.669,0.69,0.409,0.593,0.63,0.654
6,11280677,0.449,0.632,0.673,0.699,0.416,0.602,0.645,0.678
7,10768961,0.476,0.651,0.689,0.703,0.414,0.619,0.666,0.689
8,5043176,0.465,0.636,0.68,0.698,0.41,0.592,0.63,0.655
9,10142604,0.461,0.636,0.677,0.696,0.415,0.625,0.679,0.71
10,5729369,0.424,0.629,0.674,0.688,0.395,0.597,0.65,0.667
11,11441599,0.461,0.649,0.687,0.705,0.391,0.578,0.633,0.675
12,6412981,0.44,0.659,0.695,0.711,0.389,0.605,0.642,0.664
13,5443952,0.442,0.639,0.685,0.709,0.385,0.587,0.628,0.652
14,10321599,0.466,0.656,0.695,0.708,0.414,0.597,0.65,0.68
15,6169976,0.464,0.651,0.69,0.708,0.416,0.59,0.648,0.665
16,10586641,0.487,0.665,0.701,0.72,0.401,0.594,0.63,0.653
17,12383358,0.465,0.659,0.701,0.731,0.401,0.6,0.645,0.672
18,9287671,0.464,0.661,0.71,0.731,0.394,0.612,0.649,0.686
19,9761283,0.466,0.637,0.682,0.699,0.406,0.615,0.656,0.684
20,6458847,0.46,0.661,0.703,0.725,0.416,0.592,0.636,0.664
21,5572145,0.48,0.655,0.682,0.692,0.384,0.585,0.623,0.642
22,7293911,0.475,0.66,0.709,0.723,0.383,0.58,0.63,0.655
23,12420658,0.461,0.661,0.69,0.71,0.398,0.602,0.658,0.697
24,12196205,0.469,0.656,0.692,0.707,0.436,0.624,0.659,0.677
25,12553736,0.441,0.654,0.691,0.705,0.363,0.561,0.601,0.625
26,8746544,0.474,0.667,0.714,0.732,0.401,0.585,0.64,0.674
27,5518368,0.475,0.659,0.691,0.713,0.386,0.582,0.64,0.665
28,6031174,0.485,0.659,0.69,0.701,0.41,0.602,0.657,0.677
29,9112875,0.451,0.643,0.682,0.701,0.414,0.604,0.654,0.676
30,7148413,0.458,0.655,0.694,0.713,0.409,0.619,0.654,0.678
