i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,22357704,0.13,0.21,0.25,0.3,0.11,0.14,0.2,0.22
1,1244979,0.16,0.22,0.26,0.28,0.2,0.34,0.35,0.38
2,490197,0.08,0.19,0.21,0.22,0.19,0.27,0.27,0.3
