i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,3412496,0.32366666666666666,0.5156666666666667,0.5923333333333334,0.6291666666666667,0.30733333333333335,0.4855,0.5713333333333334,0.6021666666666666
1,5915175,0.32083333333333336,0.5235,0.6003333333333334,0.6376666666666667,0.31633333333333336,0.5131666666666667,0.5906666666666667,0.626
2,3391964,0.331,0.5338333333333334,0.6131666666666666,0.6433333333333333,0.30466666666666664,0.49083333333333334,0.5675,0.6023333333333334
3,4661366,0.3401666666666667,0.5383333333333333,0.6118333333333333,0.6478333333333334,0.31166666666666665,0.511,0.5888333333333333,0.6295
4,4200503,0.32516666666666666,0.5206666666666667,0.5931666666666666,0.6338333333333334,0.3085,0.49583333333333335,0.5805,0.6166666666666667
