i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,1720510,0.24166666666666667,0.37266666666666665,0.44583333333333336,0.49666666666666665,0.2335,0.36916666666666664,0.4385,0.49216666666666664
1,3294036,0.22483333333333333,0.3615,0.439,0.4855,0.23033333333333333,0.36666666666666664,0.43966666666666665,0.4811666666666667
2,1849505,0.229,0.37116666666666664,0.4525,0.497,0.23983333333333334,0.37216666666666665,0.44866666666666666,0.495
3,2733594,0.23983333333333334,0.3825,0.4583333333333333,0.5015,0.22916666666666666,0.3596666666666667,0.43883333333333335,0.4785
4,1999313,0.23566666666666666,0.36633333333333334,0.44333333333333336,0.49,0.2195,0.3585,0.43483333333333335,0.485
