i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,8343920,0.4068333333333333,0.6278333333333334,0.678,0.701,0.3715,0.5823333333333334,0.6335,0.6611666666666667
1,5856414,0.4196666666666667,0.6293333333333333,0.6828333333333333,0.7038333333333333,0.3605,0.5633333333333334,0.6278333333333334,0.653
2,4081058,0.4155,0.6126666666666667,0.6675,0.6968333333333333,0.3566666666666667,0.562,0.6251666666666666,0.66
3,8950668,0.41233333333333333,0.63,0.679,0.7015,0.37016666666666664,0.5766666666666667,0.6303333333333333,0.6581666666666667
4,4114929,0.4096666666666667,0.6191666666666666,0.6775,0.6973333333333334,0.356,0.5551666666666667,0.6181666666666666,0.6431666666666667
