i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,11762195,0.5161666666666667,0.6876666666666666,0.7156666666666667,0.7288333333333333,0.421,0.6031666666666666,0.6413333333333333,0.6606666666666666
1,11970196,0.502,0.6771666666666667,0.7026666666666667,0.7136666666666667,0.43033333333333335,0.623,0.6581666666666667,0.6778333333333333
2,13296895,0.5253333333333333,0.6873333333333334,0.7161666666666666,0.731,0.4558333333333333,0.632,0.6643333333333333,0.6845
3,11318239,0.515,0.6871666666666667,0.71,0.7215,0.4305,0.6103333333333333,0.6498333333333334,0.6703333333333333
4,14371077,0.5118333333333334,0.6868333333333333,0.7096666666666667,0.719,0.4261666666666667,0.6166666666666667,0.6535,0.671
