i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,8153542,0.3685,0.5775,0.6385,0.6666666666666666,0.3285,0.5515,0.619,0.6465
1,5141369,0.3735,0.5846666666666667,0.6526666666666666,0.6828333333333333,0.33416666666666667,0.5303333333333333,0.5966666666666667,0.6335
2,3091370,0.36683333333333334,0.5751666666666667,0.6368333333333334,0.669,0.3466666666666667,0.5558333333333333,0.6173333333333333,0.6546666666666666
3,7607652,0.37783333333333335,0.5911666666666666,0.6461666666666667,0.6836666666666666,0.3481666666666667,0.5501666666666667,0.6035,0.644
4,2809254,0.3591666666666667,0.5636666666666666,0.6286666666666667,0.6681666666666667,0.3385,0.5296666666666666,0.597,0.6406666666666667
