i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,7099626,0.4598333333333333,0.6483333333333333,0.6871666666666667,0.7041666666666667,0.4013333333333333,0.6061666666666666,0.6533333333333333,0.6758333333333333
1,8497095,0.45066666666666666,0.64,0.681,0.7103333333333334,0.4186666666666667,0.6185,0.6616666666666666,0.6926666666666667
2,8186424,0.453,0.6495,0.6886666666666666,0.7101666666666666,0.4013333333333333,0.6035,0.6505,0.6736666666666666
3,5691436,0.4538333333333333,0.644,0.689,0.7111666666666666,0.4035,0.587,0.6336666666666667,0.6573333333333333
4,6778365,0.46366666666666667,0.6546666666666666,0.6955,0.7128333333333333,0.4083333333333333,0.5971666666666666,0.6426666666666667,0.6678333333333333
