i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,18158277,0.5496666666666666,0.7015,0.7233333333333334,0.7323333333333333,0.4593333333333333,0.6288333333333334,0.6616666666666666,0.6806666666666666
1,15639030,0.528,0.6945,0.7118333333333333,0.7291666666666666,0.45816666666666667,0.6281666666666667,0.6633333333333333,0.6928333333333333
2,13683710,0.5305,0.6911666666666667,0.7123333333333334,0.7256666666666667,0.43533333333333335,0.6175,0.649,0.6676666666666666
3,13733102,0.533,0.6861666666666667,0.7076666666666667,0.7211666666666666,0.4508333333333333,0.6181666666666666,0.6483333333333333,0.6651666666666667
4,13467538,0.548,0.7036666666666667,0.7253333333333334,0.7351666666666666,0.451,0.6245,0.6513333333333333,0.6733333333333333
