i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,8668027,0.4815,0.6595,0.6958333333333333,0.714,0.4185,0.6043333333333333,0.6451666666666667,0.6705
1,8353528,0.4765,0.6543333333333333,0.6893333333333334,0.7078333333333333,0.4221666666666667,0.605,0.6506666666666666,0.6758333333333333
2,8467769,0.49483333333333335,0.6766666666666666,0.7073333333333334,0.7266666666666667,0.414,0.593,0.639,0.6663333333333333
3,10243474,0.4861666666666667,0.664,0.6968333333333333,0.7155,0.4096666666666667,0.5936666666666667,0.6406666666666667,0.6646666666666666
4,10463190,0.4985,0.6678333333333333,0.6986666666666667,0.7233333333333334,0.42383333333333334,0.6033333333333334,0.6433333333333333,0.6715
