i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,3673346,0.28983333333333333,0.4751666666666667,0.5366666666666666,0.5868333333333333,0.27616666666666667,0.4663333333333333,0.5248333333333334,0.582
1,1947320,0.28633333333333333,0.4613333333333333,0.5315,0.5693333333333334,0.2723333333333333,0.4553333333333333,0.5295,0.5636666666666666
2,2460074,0.2896666666666667,0.4676666666666667,0.5455,0.5828333333333333,0.2753333333333333,0.4465,0.5243333333333333,0.5663333333333334
3,3991181,0.278,0.4625,0.5286666666666666,0.5791666666666667,0.26866666666666666,0.44,0.49916666666666665,0.548
4,4179174,0.2805,0.45666666666666667,0.5335,0.5831666666666667,0.269,0.4365,0.5125,0.5655
